jenis_makanan,manufacturer,serving_size,kalori,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,usia
ikan mujahir / mujair goreng,Tidak Diketahui,2.20 g,416.0,46.9,0.0,23.9,0.0,54.0,0.0,19.35,78.17,0.0,35.67,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
kue ku temu,Tidak Diketahui,0.50 g,214.0,3.5,49.6,0.2,0.0,0.0,0.0,9.95,5.83,15.26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
coklat ferrero rocher,PT. Ferrero Rocher,1 g,238.0,3.0,18.0,16.0,15.0,0.0,1.0,11.07,5.0,5.54,23.88,0.0,0.0,0.0,0.0,6.0,12.0,24.0,0.0,33
outback steackhouse outback special,Tidak Diketahui,51 g,280.0,51.0,0.0,9.0,0.0,0.0,0.0,13.02,85.0,0.0,13.43,0.0,0.0,0.0,85.0,0.0,14.0,14.0,0.0,18
the coffe bean & tea leaf mocha ice blended drink,Tidak Diketahui,11 g,350.0,11.0,67.0,7.0,55.0,0.0,0.0,16.28,18.33,20.62,10.45,0.0,0.0,0.0,19.0,21.0,17.0,0.0,0.0,67
indomie goreng,PT. Indofood CBP Sukses Makmur Tbk.,2 g,380.0,8.0,54.0,14.0,8.0,0.0,2.0,17.67,13.33,16.62,20.9,0.0,0.0,0.0,0.0,17.0,18.0,21.0,0.0,62
nestle nestum,PT. Nestle Indonesia,1 g,130.0,3.0,27.0,1.5,9.0,0.0,1.0,6.05,5.0,8.31,2.24,0.0,0.0,0.0,5.0,9.0,7.0,0.0,0.0,74
"jagung nasi, mentah",Tidak Diketahui,0.30 g,357.0,8.8,79.5,0.5,0.0,2.0,6.2,16.6,14.67,24.46,0.75,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
indofood cap enak (kental manis),PT. Indofood indonesia,2 g,120.0,1.0,21.0,4.0,19.0,0.0,2.0,5.58,1.67,6.46,5.97,0.0,0.0,0.0,0.0,7.0,0.0,6.0,7.0,33
pastel,Tidak Diketahui,1.50 g,307.0,4.5,42.4,13.3,0.0,0.0,0.0,14.28,7.5,13.05,19.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
momogi bintang coklat,PT. Sari Murni Abadi,1 g,50.0,1.0,6.0,3.0,0.0,20.0,0.0,2.33,1.67,1.85,4.48,1.33,0.0,0.0,0.0,2.0,3.0,5.0,0.0,72
king's fisher sarden goreng balado,PT. Bali Maya Permai Food Canning Industry,8 g,120.0,8.0,4.0,8.0,0.0,0.0,0.0,5.58,13.33,1.23,11.94,0.0,0.0,0.0,14.0,0.0,6.0,12.0,0.0,44
kewpie caesar,Tidak Diketahui,1 g,70.0,1.0,3.0,6.0,0.0,190.0,0.0,3.26,1.67,0.92,8.96,12.67,0.0,13.0,0.0,0.0,4.0,9.0,0.0,19
getuk singkong,Tidak Diketahui,1.10 g,204.0,0.5,47.4,1.4,0.0,0.0,0.8,9.49,0.83,14.58,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
kenari banda,Tidak Diketahui,3.20 g,616.0,13.9,13.7,56.2,0.0,11.0,0.0,28.65,23.17,4.22,83.88,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
"anak sapi, daging, gemuk,segar",Tidak Diketahui,5.20 g,184.0,18.8,0.0,14.0,0.0,118.0,0.0,8.56,31.33,0.0,20.9,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
indomie ayam geprek,PT. Indofood CBP Sukses Makmur Tbk.,3 g,410.0,9.0,49.0,20.0,6.0,0.0,3.0,19.07,15.0,15.08,29.85,0.0,0.0,0.0,0.0,16.0,20.0,30.0,0.0,14
oncom kacang tanah pepes,Tidak Diketahui,4.80 g,132.0,11.7,13.7,3.8,0.0,0.0,3.1,6.14,19.5,4.22,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
"pt. ultrajaya milk industry, tbk","PT. Ultrajaya Milk Industry, Tbk",6 g,120.0,6.0,9.0,6.0,0.0,40.0,0.0,5.58,10.0,2.77,8.96,2.67,0.0,0.0,10.0,0.0,6.0,9.0,0.0,11
putri hijau,Tidak Diketahui,0.50 g,189.0,5.4,37.2,2.1,0.0,0.0,0.0,8.79,9.0,11.45,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
nestle milo 3in1 activ-go (malt),PT. Nestle Indonesia,1 g,140.0,4.0,25.0,3.0,0.0,80.0,1.0,6.51,6.67,7.69,4.48,5.33,10.0,0.0,7.0,8.0,0.0,0.0,0.0,27
tiwul instan,Tidak Diketahui,2.70 g,395.0,3.2,76.5,8.5,0.0,377.0,4.2,18.37,5.33,23.54,12.69,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
"hofa / ubi hutan, segar",Tidak Diketahui,0.90 g,127.0,1.2,29.5,0.5,0.0,3.0,3.4,5.91,2.0,9.08,0.75,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
lanting getuk,Tidak Diketahui,3.80 g,422.0,0.9,80.4,10.8,0.0,0.0,1.4,19.63,1.5,24.74,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
"telur ayam ras / telor ayam ras , segar",Tidak Diketahui,0.80 g,154.0,12.4,0.7,10.8,0.0,142.0,0.0,7.16,20.67,0.22,16.12,9.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
"daun kenikir, segar",Tidak Diketahui,1.70 g,45.0,3.7,6.6,0.5,0.0,6.0,5.8,2.09,6.17,2.03,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
oncom,Tidak Diketahui,1.40 g,187.0,13.0,22.6,6.0,0.0,0.0,0.0,8.7,21.67,6.95,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
"gadung , ubi, segar",Tidak Diketahui,0.90 g,100.0,0.9,23.5,0.3,0.0,8.0,2.1,4.65,1.5,7.23,0.45,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
nasi minyak,Tidak Diketahui,1.10 g,207.0,3.5,37.1,5.0,0.0,74.0,0.8,9.63,5.83,11.42,7.46,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
starbucks green tea frappuccino (whole milk),Tidak Diketahui,5 g,320.0,5.0,64.0,4.5,0.0,0.0,0.0,14.88,8.33,19.69,6.72,0.0,0.0,0.0,9.0,20.0,15.0,0.0,0.0,13
kue kelepon,Tidak Diketahui,1.20 g,215.0,3.7,41.8,3.7,0.0,0.0,1.0,10.0,6.17,12.86,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
abc selera pedas hot gulai chicken,PT. Heinz ABC Indonesia,21 g,270.0,7.0,34.0,12.0,1.0,0.0,21.0,12.56,11.67,10.46,17.91,0.0,0.0,0.0,0.0,0.0,13.0,18.0,70.0,77
royco sup krim jagung,Tidak Diketahui,1 g,70.0,1.0,11.0,2.0,4.0,380.0,0.0,3.26,1.67,3.38,2.99,25.33,0.0,26.0,0.0,4.0,4.0,0.0,0.0,43
bango kecap manis light,Tidak Diketahui,0 g,40.0,0.0,10.0,0.0,8.0,140.0,0.0,1.86,0.0,3.08,0.0,9.33,0.0,10.0,0.0,4.0,2.0,0.0,0.0,71
happy tos tortilla chips,PT. Sinar Kencana Agung,1 g,60.0,2.0,16.0,7.0,1.0,125.0,1.0,6.05,3.33,4.92,10.45,8.33,15.0,9.0,0.0,0.0,0.0,11.0,0.0,69
super bubur rasa ayam,PT. DELIFOOD SENTOSA CORPINDO,3 g,170.0,3.0,32.0,3.0,0.0,840.0,0.0,7.91,5.0,9.85,4.48,56.0,0.0,56.0,0.0,10.0,8.0,0.0,0.0,66
yoshinoya veggie beef bowl (large bowl),Tidak Diketahui,9 g,960.0,35.0,141.0,29.0,8.0,0.0,9.0,44.65,58.33,43.38,43.28,0.0,0.0,0.0,59.0,44.0,45.0,0.0,0.0,33
intip goreng,Tidak Diketahui,2 g,474.0,7.6,62.3,21.6,0.0,0.0,1.2,22.05,12.67,19.17,32.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
"daun pohpohan, segar",Tidak Diketahui,2.40 g,37.0,2.5,6.9,0.8,0.0,0.0,2.6,1.72,4.17,2.12,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
suki rasa ayam kecap,PT. Siantar Top Tbk,2 g,100.0,2.0,13.0,4.0,1.0,240.0,0.0,4.65,3.33,4.0,5.97,16.0,0.0,16.0,0.0,0.0,5.0,6.0,0.0,45
"soto betawi, masakan",Tidak Diketahui,1.30 g,135.0,2.5,11.5,8.8,0.0,0.0,0.5,6.28,4.17,3.54,13.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
"selada air,segar",Tidak Diketahui,1.20 g,17.0,3.1,2.2,0.2,0.0,65.0,0.7,0.79,5.17,0.68,0.3,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
mie sedaap baso spesial,PT. Indofood Sukses Makmur,6 g,340.0,9.0,47.0,13.0,2.0,0.0,6.0,15.81,15.0,14.46,19.4,0.0,0.0,0.0,0.0,0.0,16.0,20.0,20.0,44
naraya melon seed,PT. Interfood sukses jasindo,6 g,130.0,6.0,2.0,10.0,0.0,180.0,0.0,6.05,10.0,0.62,14.93,12.0,0.0,12.0,10.0,0.0,0.0,15.0,0.0,50
"pepare ular, segar",Tidak Diketahui,0.30 g,19.0,0.6,3.9,0.1,0.0,130.0,1.0,0.88,1.0,1.2,0.15,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
"kaburan, ubi, segar",Tidak Diketahui,0.50 g,133.0,1.0,32.2,0.2,0.0,10.0,0.7,6.19,1.67,9.91,0.3,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
you c1000 vitamin lemon,PT. Djojonegoro,0 g,700.0,0.0,16.0,0.0,16.0,0.0,0.0,32.56,0.0,4.92,0.0,0.0,0.0,0.0,0.0,5.0,33.0,0.0,0.0,18
kopi good day the original,PT. Santos jaya abadi,1 g,90.0,1.0,16.0,2.5,13.0,0.0,1.0,4.19,1.67,4.92,3.73,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,29
naraya coklat cookies,Tidak Diketahui,1 g,50.0,1.0,6.0,3.0,0.0,45.0,0.0,2.33,1.67,1.85,4.48,3.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,77
susu on gold standard whey,PT. Optimum Nutrition,0.50 g,120.0,20.0,3.0,1.8,1.6,0.0,0.5,5.58,33.33,0.92,2.69,0.0,0.0,0.0,34.0,0.0,6.0,3.0,0.0,36
sariroti roti tawar gandum,PT. Nippon Indosari corporindo Tbk,6 g,190.0,6.0,32.0,3.5,2.0,290.0,6.0,8.84,10.0,9.85,5.22,19.33,0.0,20.0,10.0,0.0,0.0,0.0,20.0,56
king's fisher sarden sambal bangkok,PT. Bali Maya Permai Food Canning Industry,8 g,70.0,8.0,6.0,2.0,0.0,0.0,0.0,3.26,13.33,1.85,2.99,0.0,0.0,0.0,14.0,0.0,4.0,3.0,0.0,66
ultra sari asem asli,"PT. Ultrajaya Milk Industry, Tbk",0 g,130.0,0.0,32.0,0.0,0.0,0.0,0.0,6.05,0.0,9.85,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,70
sagu aren segar,Tidak Diketahui,0.10 g,231.0,0.6,56.6,0.2,0.0,7.0,3.2,10.74,1.0,17.42,0.3,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
"kelapa tua, daging, segar",Tidak Diketahui,1 g,359.0,3.4,14.0,34.7,0.0,3.0,4.7,16.7,5.67,4.31,51.79,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
koyabu,Tidak Diketahui,0.90 g,241.0,3.4,47.2,4.3,0.0,0.0,0.0,11.21,5.67,14.52,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
buah kelor,Tidak Diketahui,1.30 g,38.0,1.5,7.5,0.2,0.0,48.0,3.2,1.77,2.5,2.31,0.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
mie sedaap cup mi kuah bakso,PT.Wings food,8 g,350.0,8.0,45.0,15.0,0.0,1070.0,0.0,16.28,13.33,13.85,22.39,71.33,0.0,72.0,0.0,0.0,17.0,23.0,0.0,77
martabak mesir,Tidak Diketahui,1.10 g,278.0,5.1,45.0,8.6,0.0,193.0,0.0,12.93,8.5,13.85,12.84,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
"encung asam, segar",Tidak Diketahui,1.50 g,122.0,3.5,17.5,4.5,0.0,0.0,9.3,5.67,5.83,5.38,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
croissant,Tidak Diketahui,1 g,180.0,3.0,21.0,9.0,0.0,0.0,1.0,8.37,5.0,6.46,13.43,0.0,0.0,0.0,0.0,7.0,9.0,14.0,0.0,45
hokben tori ball,Tidak Diketahui,7 g,250.0,7.0,15.0,14.0,0.0,0.0,0.0,11.63,11.67,4.62,20.9,0.0,0.0,0.0,12.0,0.0,12.0,21.0,0.0,76
"ikan sunu, segar",Tidak Diketahui,1.10 g,111.0,13.3,6.7,3.4,0.0,91.0,0.0,5.16,22.17,2.06,5.07,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
"sapi, dideh/darah",Tidak Diketahui,1.40 g,98.0,21.9,0.0,1.1,0.0,150.0,0.0,4.56,36.5,0.0,1.64,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
beras ganyong,Tidak Diketahui,0.50 g,364.0,3.4,86.3,0.7,0.0,4.0,4.7,16.93,5.67,26.55,1.04,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
mr.p cashewnuts,PT. Mitrasatrya Perkasautama,7 g,250.0,7.0,11.0,19.0,0.0,0.0,0.0,11.63,11.67,3.38,28.36,0.0,0.0,0.0,12.0,0.0,12.0,29.0,0.0,10
dodol bali,Tidak Diketahui,1.80 g,298.0,3.7,65.9,2.1,0.0,0.0,0.4,13.86,6.17,20.28,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
"susu kambing, segar",Tidak Diketahui,0.90 g,64.0,4.3,6.6,2.3,0.0,35.0,0.0,2.98,7.17,2.03,3.43,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
origo coffe strawberry kopi susu,Tidak Diketahui,2.43 g,108.0,2.43,12.55,4.34,10.25,0.0,0.0,5.02,4.05,3.86,6.48,0.0,0.0,0.0,5.0,0.0,6.0,7.0,0.0,55
permen kis mini assorted,PT. Mayora Indah Tbk.,0 g,30.0,0.0,7.0,0.0,5.0,0.0,0.0,1.4,0.0,2.15,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,72
"telur ayam ras bagian putih, segar",Tidak Diketahui,0.60 g,50.0,10.8,0.8,0.0,0.0,164.0,0.0,2.33,18.0,0.25,0.0,10.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72
"pisang ayam, segar",Tidak Diketahui,0.70 g,120.0,1.1,26.8,0.2,0.0,6.0,4.1,5.58,1.83,8.25,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
"pempek adaan, masakan",Tidak Diketahui,1.70 g,162.0,4.9,27.8,3.0,0.0,488.0,0.0,7.53,8.17,8.55,4.48,32.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
keju kcang tanah (peanut butter),Tidak Diketahui,0.10 g,590.0,27.0,20.9,49.0,0.0,355.0,1.6,27.44,45.0,6.43,73.13,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
"ubi jalar manis, segar",Tidak Diketahui,1.10 g,83.0,1.5,18.8,0.2,0.0,52.0,0.6,3.86,2.5,5.78,0.3,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
donat krispy kreme mini original glazed,Tidak Diketahui,0.30 g,83.3,1.0,10.0,4.3,4.7,0.0,0.3,3.87,1.67,3.08,6.42,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,55
sarimi gelas rasa baso sapi,PT. Indofood CBP Sukses Makmur Tbk,3 g,50.0,2.0,18.0,6.0,2.0,390.0,3.0,6.51,3.33,5.54,8.96,26.0,15.0,26.0,0.0,0.0,0.0,0.0,10.0,48
dalgona coffe,Tidak Diketahui,9.25 g,306.0,9.25,52.77,7.05,33.86,0.0,0.0,14.23,15.42,16.24,10.52,0.0,0.0,0.0,16.0,17.0,15.0,0.0,0.0,24
lousiana rub (classic wings),Tidak Diketahui,1 g,171.0,15.0,1.0,12.0,0.0,0.0,1.0,7.95,25.0,0.31,17.91,0.0,0.0,0.0,25.0,0.0,8.0,18.0,0.0,64
outback steackhouse ribeye,Tidak Diketahui,58 g,540.0,58.0,0.0,35.0,0.0,0.0,0.0,25.12,96.67,0.0,52.24,0.0,0.0,0.0,97.0,0.0,26.0,53.0,0.0,64
bonchon spicy wings,Tidak Diketahui,0 g,800.0,56.0,18.0,54.0,5.0,0.0,0.0,37.21,93.33,5.54,80.6,0.0,0.0,0.0,94.0,0.0,38.0,81.0,0.0,60
talas bogor kukus,Tidak Diketahui,0.80 g,120.0,1.5,28.2,0.3,0.0,11.0,0.7,5.58,2.5,8.68,0.45,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
maya sardines chili sause,PT. Maya Muncar,0.23 g,180.0,12.08,2.6,2.11,0.0,0.2,0.0,8.37,20.13,0.8,3.15,0.01,0.0,0.0,21.0,0.0,0.0,0.0,0.0,39
"cempedak, segar",Tidak Diketahui,1 g,116.0,3.0,28.6,0.4,0.0,25.0,3.4,5.4,5.0,8.8,0.6,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
good day rock caramello 3 in 1 200g,PT. Santos jaya abadi,1 g,40.0,1.0,14.0,4.5,13.0,100.0,1.0,4.65,1.67,4.31,6.72,6.67,23.0,7.0,0.0,0.0,0.0,7.0,0.0,64
pronas sarden saus pedas (425 g),PT. GEMA ISTA RAYA,8 g,80.0,8.0,2.0,4.0,0.0,120.0,0.0,3.72,13.33,0.62,5.97,8.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,49
"terung belanda, segar",Tidak Diketahui,1 g,52.0,2.1,8.6,1.1,0.0,0.0,1.4,2.42,3.5,2.65,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
chitato,PT. Indofood CBP Sukses Makmur Tbk.,2 g,110.0,2.0,11.0,6.0,0.0,0.0,0.0,5.12,3.33,3.38,8.96,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,63
rambutan,Tidak Diketahui,0.40 g,69.0,0.9,18.1,0.1,0.0,16.0,0.8,3.21,1.5,5.57,0.15,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
"beras ketan putih tumbuk, mentah",Tidak Diketahui,0.50 g,361.0,7.4,78.4,0.8,0.0,3.0,0.4,16.79,12.33,24.12,1.19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
sawo manila,Tidak Diketahui,0.50 g,92.0,0.5,22.4,1.1,0.0,26.0,9.5,4.28,0.83,6.89,1.64,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
kerupuk cumi goreng,Tidak Diketahui,3.80 g,444.0,6.9,71.3,14.6,0.0,837.0,5.0,20.65,11.5,21.94,21.79,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
gemblong,Tidak Diketahui,1.20 g,274.0,1.7,55.5,5.4,0.0,0.0,2.2,12.74,2.83,17.08,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
pop mie rasa baso,Tidak Diketahui,3 g,140.0,8.0,47.0,15.0,5.0,720.0,3.0,16.74,13.33,14.46,22.39,48.0,35.0,48.0,0.0,0.0,0.0,23.0,0.0,61
"soto madura, masakan",Tidak Diketahui,0.90 g,60.0,3.5,1.3,4.5,0.0,0.0,0.0,2.79,5.83,0.4,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
saos tomat,Tidak Diketahui,3.60 g,110.0,2.0,24.5,0.4,0.0,890.0,0.9,5.12,3.33,7.54,0.6,59.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
sariroti sandwich coklat,PT. Nippon Indosari corporindo Tbk,2 g,150.0,3.0,21.0,6.0,4.0,125.0,2.0,6.98,5.0,6.46,8.96,8.33,0.0,9.0,0.0,0.0,7.0,9.0,0.0,46
"bentul (komba), talas, segar",Tidak Diketahui,1.80 g,98.0,1.6,20.9,0.7,0.0,0.0,0.7,4.56,2.67,6.43,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
sagu manis,Tidak Diketahui,0.60 g,287.0,0.5,62.4,3.9,0.0,34.0,0.0,13.35,0.83,19.2,5.82,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
lemonia biscuit,PT. Serena Indopangan Industri,1 g,45.0,1.0,13.0,5.0,5.0,50.0,1.0,4.65,1.67,4.0,7.46,3.33,10.0,0.0,0.0,0.0,5.0,8.0,0.0,69
"koro loke, biji",Tidak Diketahui,0.60 g,33.0,2.7,7.9,0.2,0.0,2.0,3.5,1.53,4.5,2.43,0.3,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
"daun pakis, segar",Tidak Diketahui,1.40 g,39.0,4.5,6.9,0.4,0.0,20.0,2.0,1.81,7.5,2.12,0.6,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
kangkung tondano,Tidak Diketahui,1.10 g,43.0,1.8,8.4,0.2,0.0,30.0,4.3,2.0,3.0,2.58,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
mie telur cap 3 ayam,PT. Indofood CBP Sukses Makmur Tbk.,6 g,230.0,8.0,49.0,0.0,2.0,0.0,6.0,10.7,13.33,15.08,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,20.0,45
"pala, daging, segar",Tidak Diketahui,0.50 g,42.0,0.3,10.9,0.2,0.0,0.0,0.5,1.95,0.5,3.35,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
tepung gaplek,Tidak Diketahui,1.10 g,345.0,2.4,83.1,0.4,0.0,6.0,6.7,16.05,4.0,25.57,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
tempe kedelai murni mentah,Tidak Diketahui,1.60 g,201.0,20.8,13.5,8.8,0.0,9.0,1.4,9.35,34.67,4.15,13.13,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
flax seeds,Tidak Diketahui,18.29 g,534.0,18.29,28.88,42.16,0.0,0.0,0.0,24.84,30.48,8.89,62.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
starbucks hot caramel macchiato (nonfat milk),Tidak Diketahui,11 g,200.0,11.0,36.0,1.5,0.0,0.0,0.0,9.3,18.33,11.08,2.24,0.0,0.0,0.0,19.0,12.0,10.0,0.0,0.0,65
bango bumbu kuliner nusantara tongseng khas solo,PT. Sekar Laut Tbk,1 g,15.0,0.0,5.0,1.5,4.0,800.0,1.0,1.63,0.0,1.54,2.24,53.33,3.0,54.0,0.0,0.0,0.0,0.0,4.0,21
bobengka,Tidak Diketahui,0.60 g,225.0,5.3,45.2,2.6,0.0,0.0,0.0,10.47,8.83,13.91,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
"markisa squash, bd",Tidak Diketahui,0.20 g,104.0,1.2,23.7,0.5,0.0,40.0,0.0,4.84,2.0,7.29,0.75,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
pizza hut deluxe cheeses,PT. Sarimelati kencana Tbk,1 g,150.0,6.0,17.0,6.0,2.0,0.0,1.0,6.98,10.0,5.23,8.96,0.0,0.0,0.0,10.0,0.0,7.0,9.0,0.0,48
mi abc cup baso sapi,PT.Wings food,4 g,290.0,7.0,34.0,13.0,3.0,0.0,4.0,13.49,11.67,10.46,19.4,0.0,0.0,0.0,0.0,0.0,14.0,20.0,14.0,74
nasi merah,Tidak Diketahui,0.30 g,149.0,2.8,32.5,0.4,0.0,5.0,0.3,6.93,4.67,10.0,0.6,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
bagea kenari manis,Tidak Diketahui,1.30 g,523.0,3.2,64.2,28.2,0.0,74.0,0.0,24.33,5.33,19.75,42.09,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
teh javana,PT. Tirta Alam Segar,0 g,0.0,0.0,28.0,0.0,28.0,75.0,0.0,5.12,0.0,8.62,0.0,5.0,0.0,5.0,0.0,9.0,6.0,0.0,0.0,33
biokul greek  yogurt,PT. Sukanda djaya,6 g,160.0,6.0,6.0,12.0,2.0,0.0,0.0,7.44,10.0,1.85,17.91,0.0,0.0,0.0,10.0,0.0,8.0,18.0,0.0,78
frisian flag sweet delight,PT. Frisian Flag Indonesia,6 g,150.0,6.0,20.0,6.0,18.0,75.0,0.0,6.98,10.0,6.15,8.96,5.0,0.0,0.0,10.0,0.0,7.0,9.0,0.0,23
ahh nabati richeese,Tidak Diketahui,0 g,10.0,0.0,3.0,1.0,1.0,15.0,0.0,0.93,0.0,0.92,1.49,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,42
indomie mi kuah,PT. Indofood CBP Sukses Makmur Tbk.,2 g,300.0,7.0,43.0,11.0,3.0,0.0,2.0,13.95,11.67,13.23,16.42,0.0,0.0,0.0,0.0,14.0,14.0,17.0,0.0,14
saladstop bold bulgogi,Tidak Diketahui,6 g,411.8,17.7,30.6,25.7,13.3,695.4,6.0,19.15,29.5,9.42,38.36,46.36,0.0,47.0,30.0,0.0,0.0,39.0,0.0,58
kue sus,Tidak Diketahui,0.90 g,221.0,7.5,24.8,10.2,0.0,0.0,0.0,10.28,12.5,7.63,15.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
dodol galamai,Tidak Diketahui,1.20 g,348.0,0.4,76.1,3.8,0.0,38.0,0.5,16.19,0.67,23.42,5.67,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
ketoprak,Tidak Diketahui,2.60 g,153.0,7.9,13.0,7.7,0.0,0.0,2.9,7.12,13.17,4.0,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
kue koa,Tidak Diketahui,1 g,340.0,4.8,79.3,0.4,0.0,0.0,0.0,15.81,8.0,24.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
keju mozzarella,Tidak Diketahui,27.50 g,280.0,27.5,3.1,17.1,0.0,0.0,0.0,13.02,45.83,0.95,25.52,0.0,0.0,0.0,46.0,0.0,14.0,26.0,0.0,58
espresso,Tidak Diketahui,0.04 g,3.0,0.04,0.49,0.05,0.0,0.0,0.0,0.14,0.07,0.15,0.07,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,69
permen frozz lime mint,PT. Konimex,0 g,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23
eskrim magnum white almond,PT. Andrawina Darma Manunggal Mulya,3 g,230.0,3.0,23.0,14.0,13.0,0.0,3.0,10.7,5.0,7.08,20.9,0.0,0.0,0.0,0.0,0.0,11.0,21.0,10.0,47
